5.14106e-1, 6.86872e-1
5.54812e-1, 6.19221e-1
5.93594e-1, 5.63838e-1
6.31268e-1, 5.12877e-1
6.72761e-1, 4.53615e-1
7.13356e-1, 4.01873e-1
7.40774e-1, 3.58096e-1
7.68869e-1, 2.97893e-1
8.02902e-1, 2.61026e-1
8.46644e-1, 2.19722e-1
8.86616e-1, 1.81370e-1
9.33334e-1, 1.46448e-1
9.62577e-1, 1.21071e-1
1.00291e+0, 9.91454e-2
1.05389e+0, 8.96395e-2
1.12773e+0, 8.23062e-2
1.20279e+0, 7.65386e-2
1.29801e+0, 7.15883e-2
1.40076e+0, 6.71257e-2
1.51164e+0, 6.33091e-2
1.63130e+0, 5.98091e-2
1.76043e+0, 5.61742e-2
1.89978e+0, 5.30096e-2
2.05018e+0, 4.89964e-2
2.21247e+0, 4.60751e-2
2.38766e+0, 4.12693e-2
2.59509e+0, 3.65822e-2
2.76406e+0, 3.19437e-2
2.92608e+0, 2.81098e-2
2.97398e+0, 2.31615e-2
3.08987e+0, 1.91704e-2
3.23041e+0, 1.62042e-2
3.36301e+0, 1.36636e-2
3.47860e+0, 1.15417e-2
3.57832e+0, 9.66806e-3
3.68157e+0, 7.85814e-3
3.77366e+0, 6.33645e-3
3.86658e+0, 5.08794e-3
3.95220e+0, 3.97908e-3
4.02854e+0, 3.28254e-3
4.14635e+0, 2.71032e-3
4.43618e+0, 2.39790e-3
4.84395e+0, 2.21735e-3
5.22739e+0, 2.08606e-3
5.64117e+0, 1.96909e-3
6.08772e+0, 1.85713e-3
6.56961e+0, 1.74863e-3
7.08964e+0, 1.65058e-3
7.65083e+0, 1.56453e-3
8.25643e+0, 1.48543e-3
8.90995e+0, 1.41622e-3
9.61515e+0, 1.36266e-3
1.03762e+1, 1.30567e-3
1.11975e+1, 1.25838e-3
1.20837e+1, 1.20677e-3
1.30402e+1, 1.15630e-3
1.40723e+1, 1.10334e-3
1.51862e+1, 1.04495e-3
1.63883e+1, 9.83897e-4
1.76857e+1, 9.17966e-4
1.90858e+1, 8.50768e-4
2.05968e+1, 7.78702e-4
2.22276e+1, 7.10372e-4
2.39874e+1, 6.44808e-4
2.58867e+1, 5.83349e-4
2.79363e+1, 5.26871e-4
3.01482e+1, 4.75860e-4
3.25354e+1, 4.25870e-4
3.51116e+1, 3.81449e-4
3.78919e+1, 3.41093e-4
4.08922e+1, 3.04499e-4
4.41303e+1, 2.70927e-4
4.76247e+1, 2.41257e-4
5.13959e+1, 2.13766e-4
5.54657e+1, 1.89566e-4
5.98579e+1, 1.67685e-4
6.45978e+1, 1.48825e-4
6.97132e+1, 1.31428e-4
7.52336e+1, 1.16065e-4
8.11911e+1, 1.02754e-4
8.71064e+1, 9.29897e-5
9.32995e+1, 8.24803e-5
9.87227e+1, 7.46059e-5
